Genres
action 
adventure 
cars 
comedy 
dementia 
demons 
mystery 
drama 
ecchi 
fantasy 
game 
historical 
horror 
magic 
martial arts 
mecha 
music 
parody 
samurai 
romance 
school 
sci-fi 
shoujo 
shoujo ai 
shounen 
shounen ai 
space 
sports 
super power 
vampire 
harem 
slice of life 
supernatural 
military 
police 
psychological 
thriller 
seinen 
josei 
